model,N,prompt_id,gamma,arm,step_locus,baseline_outcome,outcome,p_correct,delta_p,needle_rank,needle_mass,prompt_hash
meta-llama/Llama-3.2-1B,65536,10,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.01206,0.0,1144.6,0.0109,17676a8234c5
meta-llama/Llama-3.2-1B,65536,10,4,needle,all,WRONG_NEEDLE,CORRECT,0.63633,0.62427,1144.6,0.0109,17676a8234c5
meta-llama/Llama-3.2-1B,65536,10,16,needle,all,WRONG_NEEDLE,CORRECT,0.92524,0.91318,1144.6,0.0109,17676a8234c5
meta-llama/Llama-3.2-1B,65536,10,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00021,-0.01185,1144.6,0.0109,17676a8234c5
meta-llama/Llama-3.2-1B,65536,11,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.01303,0.0,796.3,0.0042,17edba4c3415
meta-llama/Llama-3.2-1B,65536,11,4,needle,all,WRONG_NEEDLE,CORRECT,0.06515,0.05212,796.3,0.0042,17edba4c3415
meta-llama/Llama-3.2-1B,65536,11,16,needle,all,WRONG_NEEDLE,CORRECT,0.56967,0.55663,796.3,0.0042,17edba4c3415
meta-llama/Llama-3.2-1B,65536,11,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00183,-0.01120,796.3,0.0042,17edba4c3415
meta-llama/Llama-3.2-1B,65536,12,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00122,0.0,230.2,0.0011,3e2f7755d7f6
meta-llama/Llama-3.2-1B,65536,12,4,needle,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00147,0.00025,230.2,0.0011,3e2f7755d7f6
